#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
261,Ryan Helsley,BAL,RP,R,64.8,0.0,0.0,269.3,64.8,3.5,2.8,25,0,3.58,3.40,1.20,76.4,24.9,52.9,2.0,25.5,27.7,7,38.7,42.1,19.1,0.289,664854
262,Justin Lawrence,PIT,RP,R,64.8,0.0,0.0,278.2,64.8,3.2,3.2,0,23,4.10,3.92,1.35,62.8,29.6,57.9,3.7,29.5,32.1,6,46.2,34.0,19.9,0.298,664875
263,Elvis Alvarado,ATH,RP,R,64.8,0.0,0.0,281.5,64.8,3.2,3.2,2,16,4.60,4.58,1.42,64.8,32.1,59.9,3.1,32.4,34.8,9,41.0,37.7,21.3,0.292,665660
264,Ryan Zeferjahn,LAA,RP,R,64.8,0.0,0.0,281.8,64.8,3.0,3.4,0,18,4.65,4.55,1.39,68.8,32.5,57.9,3.7,32.6,34.9,9,38.3,40.4,21.3,0.287,666171
265,Matt Brash,SEA,RP,R,64.8,0.0,0.0,272.6,64.8,3.5,2.9,0,26,3.37,3.22,1.21,79.0,25.4,52.9,2.9,25.2,27.6,6,46.0,34.6,19.4,0.287,666374
266,Camilo Doval,NYY,RP,R,64.8,0.0,0.0,274.4,64.8,3.5,2.9,5,16,3.69,3.55,1.29,74.7,30.2,53.3,3.1,26.3,28.8,6,48.0,32.6,19.4,0.291,666808
267,Tommy Nance,TOR,RP,R,64.8,0.0,0.0,274.8,64.8,3.3,3.0,0,11,4.01,3.67,1.27,61.2,20.9,61.2,3.0,29.1,31.7,7,48.7,31.4,20.0,0.293,667297
268,Cole Winn,TEX,RP,R,64.8,0.0,0.0,282.9,64.8,3.1,3.3,3,16,4.68,4.38,1.38,57.4,28.5,60.8,3.1,33.5,36.0,9,41.8,38.3,19.9,0.278,668390
269,Lucas Erceg,KC,RP,R,64.8,0.0,0.0,271.7,64.8,3.5,2.9,0,23,3.79,3.61,1.24,65.6,23.8,56.4,3.4,26.2,28.6,6,45.5,35.2,19.3,0.292,668674
270,Graham Ashcraft,CIN,RP,R,64.8,0.0,0.0,273.2,64.8,3.3,3.1,0,24,4.19,4.07,1.32,56.5,19.2,66.0,3.0,28.5,31.2,8,48.8,31.5,19.7,0.310,668933
