#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
633,Shane McGuire,ATH,L,C,C,10,26,23,2.7,0.3,2.1,0.3,4.7,3.4,0.9,0.0,6.6,6.6,2.9,0.3,0.2,0.1,0.1,0.205,0.298,0.293,0.591,0.271,676063
634,Jose Herrera,TEX,S,C,C,10,25,22,2.7,0.4,2.2,0.2,4.7,3.4,0.9,0.1,6.9,5.9,2.5,0.2,0.2,0.1,0.0,0.213,0.293,0.309,0.602,0.270,645444
635,Pedro Leon,PHI,R,SS,SS,10,25,23,2.7,0.7,2.5,0.7,4.7,3.0,1.0,0.1,7.9,7.8,1.9,0.3,0.2,0.1,0.2,0.208,0.276,0.347,0.623,0.280,694175
636,Cavan Biggio,HOU,L,1B/2B/ 3B/OF,1B/2B/ 3B/OF,8,21,18,2.2,0.4,1.8,0.2,3.8,2.7,0.6,0.1,5.7,6.1,2.3,0.4,0.2,0.1,0.1,0.208,0.307,0.312,0.619,0.286,624415
637,Edward Olivares,TB,R,OF,OF,8,21,19,2.2,0.6,2.1,0.4,4.4,3.0,0.8,0.1,7.1,4.3,1.4,0.3,0.2,0.0,0.1,0.234,0.294,0.374,0.668,0.272,658668
638,Elehuris Montero,FA,R,1B,1B,8,21,19,2.3,0.6,2.3,0.1,4.4,2.8,0.9,0.1,7.2,5.6,1.4,0.2,0.2,0.1,0.0,0.227,0.283,0.376,0.659,0.285,660707
639,Tyler Nevin,FA,R,3B,3B,8,21,19,2.3,0.6,2.2,0.1,4.5,3.1,0.9,0.0,7.2,3.9,1.7,0.3,0.2,0.1,0.0,0.241,0.310,0.383,0.693,0.273,663527
640,Estevan Florial,FA,L,OF,OF,8,21,19,2.3,0.6,2.1,0.7,4.1,2.6,0.9,0.1,6.9,6.3,1.9,0.2,0.1,0.1,0.2,0.219,0.295,0.368,0.662,0.294,664314
641,Petey Halpin,CLE,L,OF,OF,8,21,19,2.0,0.4,1.8,0.3,4.0,2.5,1.0,0.1,6.3,6.0,1.5,0.1,0.1,0.1,0.1,0.209,0.269,0.330,0.599,0.281,690984
642,J.D. Martinez,FA,R,DH,DH,8,20,18,2.2,0.6,2.1,0.1,4.0,2.5,0.9,0.1,6.7,5.8,1.7,0.2,0.1,0.0,0.0,0.225,0.296,0.374,0.670,0.297,6184
643,Mitch Haniger,FA,R,OF,OF,8,20,18,2.1,0.6,2.1,0.1,3.8,2.5,0.7,0.0,6.3,5.7,1.7,0.2,0.1,0.1,0.0,0.211,0.282,0.352,0.634,0.270,14274
644,Jhonny Pereda,SEA,R,C,C,8,20,18,2.1,0.3,1.7,0.1,4.0,2.8,0.9,0.0,5.7,5.3,2.1,0.2,0.1,0.1,0.0,0.224,0.308,0.324,0.631,0.301,640902
645,Willie Calhoun,FA,L,DH,DH,8,20,18,2.2,0.4,2.0,0.1,4.2,2.9,0.9,0.0,6.4,3.3,1.8,0.2,0.1,0.0,0.0,0.233,0.305,0.355,0.660,0.262,641432
646,Rece Hinds,CIN,R,OF,OF,8,20,18,2.3,0.8,2.5,0.5,4.2,2.2,1.1,0.1,7.8,6.5,1.2,0.2,0.1,0.1,0.1,0.227,0.279,0.425,0.704,0.298,677956
647,Tomas Nido,DET,R,C,C,8,19,18,1.8,0.3,1.7,0.1,3.8,2.8,0.7,0.0,5.6,4.7,0.9,0.2,0.1,0.1,0.0,0.216,0.257,0.316,0.573,0.274,621512
648,Sergio Alcantara,WSH,S,SS,SS,7,17,15,1.6,0.2,1.3,0.1,3.1,2.2,0.6,0.1,4.4,4.1,1.7,0.1,0.1,0.1,0.0,0.213,0.297,0.303,0.600,0.281,642727
649,Brett Sullivan,COL,L,C,C,7,17,15,1.8,0.3,1.6,0.2,3.5,2.4,0.6,0.1,5.4,3.0,1.2,0.1,0.1,0.1,0.1,0.229,0.287,0.350,0.637,0.262,664954
650,Tim Elko,CHW,R,1B,1B,7,17,15,1.8,0.6,1.9,0.1,3.5,2.2,0.7,0.0,6.0,5.5,0.9,0.1,0.1,0.1,0.0,0.227,0.272,0.389,0.661,0.307,671284
651,Tyler Black,MIL,L,1B,1B,7,17,15,1.8,0.4,1.5,0.6,3.2,2.1,0.5,0.1,5.0,4.4,2.0,0.2,0.1,0.0,0.2,0.216,0.317,0.341,0.658,0.281,672012
652,Steward Berroa,MIL,S,OF,OF,7,17,15,1.6,0.2,1.3,1.0,3.0,2.1,0.6,0.1,4.3,5.1,1.7,0.1,0.1,0.1,0.3,0.199,0.285,0.290,0.574,0.282,672642
653,Blake Hunt,SD,R,C,C,7,17,15,1.7,0.4,1.6,0.1,3.1,2.0,0.7,0.1,5.0,4.6,1.2,0.2,0.1,0.1,0.0,0.203,0.266,0.326,0.592,0.261,675448
654,Wade Meckler,LAA,L,OF,OF,7,17,15,1.7,0.2,1.4,0.2,3.6,2.6,0.7,0.1,5.0,3.8,1.6,0.1,0.1,0.1,0.1,0.242,0.318,0.343,0.661,0.309,685133
655,Brice Matthews,HOU,R,2B,2B,7,17,15,1.9,0.5,1.8,0.7,3.2,2.1,0.6,0.1,5.5,5.5,1.6,0.2,0.1,0.1,0.2,0.213,0.293,0.363,0.656,0.294,694728
656,Nick Morabito,NYM,R,OF,OF,7,17,15,1.7,0.2,1.5,0.8,3.6,2.7,0.6,0.1,5.0,4.3,1.3,0.2,0.1,0.1,0.2,0.231,0.296,0.322,0.618,0.304,703492
657,Sam Antonacci,CHW,L,2B,2B,7,17,14,1.7,0.2,1.4,0.6,3.4,2.5,0.7,0.1,4.8,3.2,1.6,0.4,0.1,0.1,0.2,0.238,0.329,0.331,0.660,0.290,803011
658,Kevin Newman,KC,R,2B/SS,2B/SS/ 3B,7,16,15,1.7,0.2,1.5,0.2,3.7,2.7,0.8,0.0,5.1,2.7,0.9,0.1,0.1,0.1,0.1,0.248,0.291,0.341,0.632,0.290,621028
659,Hayden Senger,NYM,R,C,C,7,16,15,1.5,0.3,1.4,0.2,3.0,2.1,0.5,0.1,4.4,4.8,0.9,0.2,0.1,0.1,0.0,0.201,0.256,0.296,0.553,0.274,663584
660,Maverick Handley,BAL,R,C,C,7,16,14,1.6,0.2,1.3,0.2,2.7,2.0,0.5,0.1,4.0,4.5,1.5,0.2,0.1,0.1,0.1,0.194,0.279,0.283,0.562,0.265,668974
661,Willie MacIver,TEX,R,C,C,7,16,14,1.7,0.4,1.5,0.3,3.2,2.1,0.6,0.1,5.0,4.3,1.2,0.2,0.1,0.1,0.1,0.219,0.286,0.345,0.631,0.285,680862
662,Cesar Prieto,STL,L,2B,2B,7,16,15,1.6,0.2,1.5,0.3,3.7,2.6,0.8,0.1,5.3,2.4,0.7,0.2,0.1,0.1,0.1,0.248,0.288,0.356,0.644,0.281,693409
663,Tyler Wade,TEX,L,2B/SS/ 3B/OF,2B/3B/ OF,7,15,13,1.4,0.1,1.1,0.5,2.9,2.2,0.5,0.1,4.0,3.7,1.3,0.1,0.1,0.1,0.1,0.218,0.291,0.295,0.585,0.289,15730
664,Jose Siri,LAA,R,OF,OF,7,15,13,1.5,0.5,1.6,0.4,2.7,1.6,0.5,0.0,4.9,5.4,1.0,0.2,0.1,0.1,0.1,0.198,0.257,0.363,0.620,0.279,642350
665,Sebastian Rivero,LAA,R,C,C,7,15,14,1.4,0.3,1.3,0.1,2.9,2.0,0.6,0.0,4.4,3.4,0.7,0.2,0.1,0.1,0.0,0.213,0.256,0.322,0.578,0.260,665861
666,Jonah Bride,TEX,R,1B/3B,1B/3B,7,15,13,1.7,0.3,1.4,0.1,2.8,1.9,0.5,0.0,4.3,3.6,1.8,0.2,0.1,0.0,0.0,0.216,0.316,0.336,0.653,0.272,681146
667,Paul McIntosh,PHI,R,C,C,6,15,13,1.6,0.3,1.4,0.1,2.8,1.8,0.6,0.0,4.5,3.6,1.3,0.2,0.1,0.1,0.0,0.208,0.287,0.335,0.622,0.256,682192
668,Carlos Mendoza,TOR,R,2B,2B,6,15,13,1.6,0.1,1.2,0.3,3.0,2.2,0.6,0.1,4.1,2.8,1.6,0.2,0.1,0.1,0.1,0.228,0.319,0.312,0.631,0.276,685332
669,Hendry Mendez,MIN,R,OF,OF,6,15,13,1.6,0.2,1.4,0.2,3.2,2.3,0.6,0.1,4.6,2.7,1.6,0.1,0.1,0.1,0.0,0.242,0.326,0.351,0.677,0.285,694230
670,Trey Lipscomb,WSH,R,3B,3B,7,15,14,1.4,0.2,1.3,0.3,3.1,2.3,0.6,0.0,4.4,3.1,0.8,0.1,0.1,0.1,0.1,0.228,0.273,0.323,0.596,0.277,702358
671,Nick Gordon,FA,L,OF,OF,6,14,13,1.4,0.3,1.3,0.3,2.9,2.0,0.6,0.1,4.5,3.5,0.7,0.1,0.1,0.0,0.1,0.225,0.266,0.345,0.611,0.283,624503
672,Eloy Jimenez,TOR,R,OF,OF,6,14,13,1.6,0.4,1.5,0.1,3.1,2.1,0.6,0.0,4.9,3.0,1.0,0.1,0.1,0.0,0.0,0.242,0.299,0.379,0.678,0.283,650391
673,Diego Castillo,FA,R,2B,2B,6,14,12,1.4,0.2,1.2,0.2,2.8,1.9,0.6,0.0,4.1,2.9,1.4,0.1,0.1,0.1,0.1,0.222,0.300,0.329,0.629,0.269,660636
674,Oscar Gonzalez,FA,R,OF,OF,6,14,13,1.5,0.4,1.5,0.1,3.2,2.2,0.6,0.1,5.1,3.2,0.5,0.1,0.1,0.0,0.0,0.244,0.277,0.388,0.664,0.292,660757
675,Daz Cameron,MIL,R,OF,OF,6,14,13,1.5,0.4,1.4,0.4,2.8,1.7,0.5,0.1,4.6,3.9,1.2,0.2,0.1,0.0,0.1,0.220,0.291,0.370,0.660,0.281,663662
676,LaMonte Wade Jr.,CHW,L,1B/OF,1B/OF,6,14,12,1.6,0.4,1.3,0.1,2.6,1.8,0.4,0.0,4.3,3.1,1.8,0.2,0.1,0.0,0.0,0.225,0.330,0.366,0.696,0.272,664774
677,Cristian Pache,NYM,R,OF,OF,6,14,13,1.4,0.2,1.2,0.2,2.5,1.7,0.5,0.1,3.8,4.4,1.3,0.1,0.1,0.1,0.1,0.195,0.273,0.298,0.571,0.275,665506
678,Jesus Bastidas,MIA,R,SS,SS,6,14,13,1.4,0.3,1.2,0.2,2.6,1.7,0.6,0.0,4.1,3.7,1.0,0.3,0.1,0.0,0.1,0.210,0.279,0.330,0.609,0.272,665846
679,Nick Pratto,TEX,L,1B,1B,6,14,13,1.5,0.4,1.4,0.2,2.5,1.5,0.6,0.0,4.3,4.7,1.2,0.1,0.1,0.0,0.0,0.198,0.274,0.347,0.621,0.276,668472
680,Austin Shenton,FA,L,3B,3B,6,14,12,1.5,0.4,1.4,0.0,2.6,1.5,0.6,0.0,4.5,4.4,1.4,0.1,0.1,0.0,0.0,0.209,0.296,0.363,0.659,0.284,668853
681,Will Wilson,SEA,R,3B,2B/3B,6,14,13,1.3,0.3,1.2,0.1,2.5,1.7,0.5,0.0,3.9,3.9,1.0,0.1,0.1,0.0,0.0,0.194,0.256,0.305,0.560,0.254,669717
682,Michael Toglia,CIN,S,1B,1B,6,14,12,1.6,0.6,1.6,0.1,2.5,1.3,0.5,0.0,4.9,4.8,1.3,0.1,0.1,0.0,0.0,0.201,0.281,0.393,0.674,0.268,669911
683,Yunior Severino,MIN,S,2B,2B,6,14,13,1.5,0.4,1.4,0.1,2.7,1.7,0.6,0.0,4.4,4.5,1.2,0.1,0.1,0.0,0.0,0.212,0.287,0.350,0.638,0.297,670870
684,Buddy Kennedy,SF,R,3B,3B,6,14,12,1.4,0.2,1.2,0.1,2.8,2.0,0.5,0.0,4.0,2.8,1.4,0.2,0.1,0.1,0.0,0.231,0.317,0.332,0.648,0.282,671083
685,Darren Baker,CHW,L,2B,2B,6,14,13,1.2,0.1,1.0,0.5,2.9,2.3,0.5,0.0,3.7,2.9,1.0,0.1,0.1,0.0,0.1,0.230,0.289,0.292,0.580,0.292,671117
686,Drew Waters,KC,S,OF,OF,6,14,13,1.5,0.3,1.4,0.3,2.9,1.9,0.6,0.1,4.6,4.0,1.1,0.1,0.1,0.1,0.1,0.229,0.294,0.359,0.653,0.309,671221
687,Eliezer Alfonzo,LAD,R,C,C,6,14,13,1.5,0.2,1.4,0.1,3.0,2.1,0.7,0.0,4.5,2.0,0.8,0.1,0.1,0.1,0.0,0.227,0.274,0.337,0.612,0.249,672613
688,Zach DeLoach,FA,L,OF,OF,6,14,12,1.4,0.3,1.3,0.2,2.7,1.8,0.6,0.0,4.2,4.3,1.3,0.1,0.1,0.0,0.1,0.214,0.289,0.335,0.624,0.299,676113
689,Nelson Velazquez,STL,R,OF,OF,6,14,12,1.5,0.5,1.6,0.2,2.7,1.6,0.5,0.0,4.9,3.7,1.2,0.1,0.1,0.0,0.1,0.217,0.289,0.393,0.682,0.262,676369
690,Jordyn Adams,MIL,R,OF,OF,6,14,13,1.3,0.3,1.2,0.4,2.6,1.8,0.4,0.1,4.0,4.6,1.0,0.1,0.1,0.1,0.1,0.198,0.257,0.307,0.564,0.282,677941
691,Jose Ramos,NYM,R,OF,OF,6,14,13,1.5,0.4,1.4,0.2,2.6,1.7,0.4,0.1,4.3,4.8,1.1,0.1,0.1,0.0,0.1,0.201,0.268,0.337,0.605,0.279,682947
692,Jud Fabian,BAL,R,OF,OF,6,14,12,1.4,0.4,1.3,0.2,2.2,1.4,0.4,0.0,3.8,4.8,1.4,0.1,0.1,0.0,0.1,0.182,0.269,0.311,0.580,0.260,682983
693,Michael Stefanic,ATH,R,2B,2B,6,14,12,1.7,0.1,1.3,0.2,3.2,2.4,0.6,0.0,4.3,2.0,1.5,0.3,0.1,0.1,0.1,0.260,0.347,0.348,0.695,0.297,683021
694,Andre Lipcius,FA,R,2B,2B,6,14,13,1.5,0.3,1.4,0.1,2.7,1.8,0.5,0.0,4.3,3.3,1.2,0.1,0.1,0.0,0.0,0.218,0.290,0.344,0.633,0.267,686531
695,Brennan Milone,ATH,R,2B,2B,6,14,12,1.6,0.3,1.4,0.1,2.7,1.8,0.6,0.0,4.4,3.6,1.3,0.1,0.1,0.0,0.0,0.220,0.298,0.355,0.652,0.282,686810
696,Tucker Flint,LAA,L,OF,OF,6,14,12,1.4,0.3,1.2,0.2,2.3,1.4,0.5,0.0,3.9,5.0,1.3,0.2,0.1,0.0,0.1,0.189,0.273,0.322,0.595,0.283,687272
697,Jack Brannigan,PIT,R,SS,SS,6,14,13,1.4,0.3,1.3,0.2,2.7,1.8,0.5,0.1,4.2,3.9,1.1,0.2,0.1,0.1,0.1,0.212,0.283,0.336,0.620,0.278,687394
698,Andrew Pinckney,WSH,R,OF,OF,6,14,13,1.3,0.3,1.2,0.4,2.8,2.0,0.4,0.1,4.2,4.2,0.8,0.2,0.1,0.0,0.1,0.221,0.277,0.334,0.611,0.305,687605
699,Matthew Wood,MIL,L,C,C,6,14,12,1.4,0.2,1.1,0.2,2.6,1.9,0.5,0.0,3.8,2.7,1.4,0.2,0.1,0.0,0.0,0.213,0.302,0.307,0.610,0.256,687783
700,Josh Kasevich,TOR,R,SS,SS,6,14,13,1.4,0.1,1.2,0.2,3.0,2.3,0.6,0.0,4.0,2.3,1.0,0.1,0.1,0.0,0.0,0.233,0.289,0.312,0.601,0.272,688460
701,Enrique Bradfield Jr.,BAL,L,OF,OF,6,14,12,1.5,0.2,1.3,0.9,2.8,1.9,0.6,0.0,4.1,3.1,1.3,0.1,0.1,0.1,0.2,0.224,0.300,0.331,0.631,0.281,690961
702,Alex Ramirez,FA,R,OF,OF,6,14,13,1.3,0.2,1.2,0.6,2.6,1.8,0.5,0.0,3.9,3.6,1.1,0.1,0.1,0.0,0.2,0.208,0.271,0.305,0.577,0.271,691267
703,Wilfred Veras,CHW,R,OF,OF,6,14,13,1.3,0.3,1.3,0.3,2.7,1.8,0.6,0.0,4.3,4.1,0.8,0.1,0.1,0.0,0.1,0.213,0.263,0.342,0.604,0.285,691442
704,Tsung-Che Cheng,BOS,L,SS,SS,6,14,13,1.3,0.1,1.1,0.4,2.6,1.8,0.6,0.1,3.7,3.5,1.2,0.1,0.1,0.0,0.1,0.209,0.281,0.299,0.580,0.275,691907
705,Oscar Colas,FA,L,DH,DH,6,14,13,1.4,0.3,1.3,0.2,2.7,1.8,0.5,0.1,4.3,3.8,1.0,0.1,0.1,0.0,0.1,0.213,0.272,0.336,0.608,0.274,693049
706,Angel Genao,CLE,S,SS,SS,6,14,13,1.4,0.1,1.2,0.2,3.1,2.1,0.8,0.1,4.4,2.6,0.9,0.1,0.1,0.1,0.0,0.239,0.291,0.344,0.635,0.288,694197
707,Cole Carrigg,COL,S,OF,OF,6,14,13,1.5,0.3,1.4,0.6,3.0,2.1,0.5,0.1,4.7,3.6,0.9,0.2,0.1,0.1,0.2,0.236,0.294,0.369,0.663,0.300,694249
708,Justice Bigbie,DET,R,OF,OF,6,14,13,1.4,0.2,1.3,0.1,3.0,2.1,0.6,0.0,4.3,2.8,1.1,0.1,0.1,0.0,0.0,0.238,0.301,0.343,0.645,0.285,694425
709,Riley Tirotta,TOR,R,3B,3B,6,14,12,1.5,0.3,1.3,0.2,2.5,1.6,0.5,0.0,4.0,4.7,1.3,0.2,0.1,0.0,0.1,0.201,0.282,0.323,0.605,0.291,694661
710,Sam Brown,WSH,L,1B,1B,6,14,12,1.3,0.2,1.2,0.1,2.7,1.8,0.6,0.1,4.0,3.0,1.1,0.2,0.1,0.0,0.0,0.218,0.287,0.323,0.611,0.268,694848
711,Cooper Ingle,CLE,L,C,C,6,14,12,1.5,0.2,1.3,0.1,2.7,1.7,0.8,0.0,4.2,2.8,1.8,0.1,0.1,0.0,0.0,0.227,0.329,0.356,0.684,0.275,694876
712,Terrell Tatum,FA,L,OF,OF,6,14,12,1.3,0.2,1.1,0.5,2.4,1.7,0.5,0.0,3.5,4.4,1.4,0.1,0.1,0.0,0.1,0.197,0.282,0.288,0.571,0.288,695299
713,Joshua Baez,STL,R,OF,OF,6,14,12,1.5,0.4,1.4,0.6,2.8,1.8,0.6,0.0,4.6,3.7,1.1,0.2,0.1,0.1,0.2,0.227,0.298,0.372,0.670,0.291,695491
714,Nick Raposo,SEA,R,C,C,6,14,13,1.3,0.2,1.1,0.1,2.5,1.7,0.6,0.0,3.8,3.4,1.1,0.1,0.1,0.1,0.0,0.198,0.263,0.297,0.560,0.250,695596
715,Cooper Kinney,TB,L,2B,2B,6,14,13,1.3,0.2,1.2,0.1,2.8,1.9,0.6,0.1,4.2,3.6,0.8,0.1,0.1,0.0,0.0,0.218,0.266,0.330,0.595,0.283,695692
716,Frederick Bencosme,BAL,L,SS,SS,6,14,13,1.4,0.2,1.3,0.3,2.8,1.9,0.6,0.0,4.0,2.6,1.0,0.1,0.1,0.0,0.1,0.217,0.275,0.319,0.593,0.253,695930
717,Esmerlyn Valdez,PIT,R,OF,OF,6,14,13,1.5,0.4,1.5,0.1,2.8,1.9,0.5,0.0,4.7,3.9,1.1,0.2,0.1,0.1,0.0,0.227,0.296,0.375,0.671,0.292,699013
718,Leonardo Bernal,STL,S,C,C,6,14,13,1.4,0.3,1.3,0.2,2.8,1.9,0.6,0.0,4.2,2.9,1.1,0.1,0.1,0.1,0.1,0.219,0.285,0.333,0.617,0.261,699024
719,Thayron Liranzo,DET,S,C,C,6,14,12,1.4,0.3,1.2,0.1,2.4,1.6,0.4,0.0,3.8,4.3,1.4,0.1,0.1,0.1,0.0,0.194,0.279,0.306,0.585,0.268,699073
720,Leo Balcazar,CIN,R,SS,SS,6,14,13,1.4,0.2,1.3,0.2,3.1,2.1,0.7,0.0,4.5,2.6,0.9,0.1,0.1,0.1,0.0,0.239,0.291,0.349,0.641,0.280,699114
721,Jadher Areinamo,TB,R,2B,2B,6,14,13,1.4,0.2,1.3,0.3,3.1,2.2,0.7,0.0,4.5,2.1,0.8,0.1,0.1,0.0,0.1,0.242,0.290,0.349,0.639,0.272,699130
722,Pedro Ramirez,CHC,S,2B,2B,6,14,13,1.4,0.1,1.2,0.3,3.1,2.4,0.5,0.1,4.2,2.6,0.9,0.1,0.1,0.1,0.1,0.244,0.299,0.328,0.626,0.293,699393
723,Jose Fernandez,ARI,R,SS,SS,6,14,13,1.4,0.2,1.3,0.2,3.1,2.3,0.5,0.1,4.5,3.1,0.7,0.1,0.1,0.1,0.1,0.235,0.274,0.340,0.614,0.287,699912
724,Phillip Glasser,WSH,L,2B,2B,6,14,12,1.5,0.2,1.2,0.4,3.1,2.3,0.6,0.1,4.4,2.3,1.2,0.2,0.1,0.0,0.1,0.254,0.323,0.358,0.681,0.297,701298
725,Reed Trimble,BAL,S,OF,OF,6,14,13,1.6,0.4,1.5,0.4,2.8,1.8,0.6,0.1,4.6,3.7,1.1,0.1,0.1,0.1,0.1,0.220,0.283,0.365,0.648,0.278,701655
726,Jacob Reimer,NYM,R,OF,OF,6,14,13,1.5,0.3,1.4,0.2,2.8,1.9,0.5,0.0,4.4,3.6,1.2,0.2,0.1,0.1,0.0,0.221,0.300,0.347,0.647,0.281,702544
727,Michael Arroyo,SEA,R,SS,SS,6,14,12,1.5,0.3,1.3,0.2,2.7,1.7,0.6,0.0,4.2,3.5,1.3,0.4,0.1,0.1,0.1,0.216,0.308,0.343,0.651,0.276,703197
728,Max Clark,DET,L,OF,OF,6,14,12,1.5,0.3,1.3,0.2,2.8,2.0,0.4,0.1,4.2,3.0,1.6,0.1,0.1,0.0,0.1,0.230,0.325,0.345,0.671,0.283,703601
729,Henry Bolte,ATH,R,OF,OF,6,14,12,1.5,0.3,1.4,0.5,2.8,1.8,0.6,0.1,4.4,4.7,1.2,0.2,0.1,0.0,0.1,0.225,0.298,0.353,0.651,0.332,703607
730,Xavier Isaac,TB,L,DH,1B,6,14,12,1.5,0.4,1.4,0.2,2.5,1.5,0.5,0.0,4.4,4.7,1.4,0.1,0.1,0.0,0.0,0.202,0.290,0.356,0.646,0.283,800060
731,Josue Briceno,DET,L,C,C,6,14,12,1.5,0.3,1.3,0.1,2.7,1.9,0.4,0.1,4.3,3.2,1.4,0.1,0.1,0.0,0.0,0.221,0.307,0.349,0.657,0.270,800522
732,Josue De Paula,LAD,L,OF,OF,6,14,12,1.6,0.3,1.3,0.4,2.5,1.8,0.4,0.0,3.9,3.7,1.7,0.1,0.1,0.1,0.1,0.203,0.301,0.311,0.612,0.262,800543
733,Nate Furman,SF,L,2B,2B,6,14,12,1.5,0.2,1.3,0.2,3.0,2.2,0.5,0.1,4.3,2.4,1.4,0.2,0.1,0.0,0.1,0.247,0.329,0.354,0.683,0.289,801501
734,Taylor Young,LAD,R,2B,2B,6,14,13,1.4,0.1,1.1,0.5,2.6,1.8,0.7,0.0,3.6,3.3,1.4,0.2,0.1,0.1,0.1,0.208,0.292,0.288,0.580,0.271,805891
735,Ralphy Velazquez,CLE,L,1B,1B,6,14,13,1.5,0.4,1.5,0.1,2.8,1.7,0.7,0.1,4.8,3.3,1.1,0.1,0.1,0.0,0.0,0.224,0.288,0.385,0.673,0.267,806252
736,Ethan Salas,SD,L,C,C,6,14,13,1.4,0.2,1.2,0.2,2.6,1.7,0.6,0.0,4.0,3.3,1.1,0.1,0.1,0.0,0.1,0.207,0.276,0.321,0.597,0.260,806956
737,Jesus Made,MIL,S,SS,SS,6,14,13,1.2,0.2,1.0,0.4,2.6,2.0,0.4,0.1,3.6,3.6,1.1,0.1,0.1,0.1,0.1,0.207,0.272,0.286,0.559,0.274,815908
738,Donovan Solano,FA,R,2B,2B,6,13,12,1.3,0.2,1.2,0.1,2.9,2.2,0.5,0.1,4.1,2.9,0.8,0.2,0.1,0.0,0.0,0.248,0.306,0.347,0.652,0.313,8623
739,Brandon Drury,KC,R,2B,2B,6,13,12,1.4,0.3,1.3,0.1,2.7,1.7,0.5,0.0,4.2,3.1,0.9,0.2,0.1,0.0,0.0,0.223,0.287,0.357,0.644,0.272,11615
740,Eddie Rosario,FA,L,OF,OF,6,13,12,1.3,0.4,1.3,0.3,2.6,1.7,0.5,0.0,4.3,3.2,0.9,0.1,0.1,0.0,0.1,0.218,0.273,0.356,0.629,0.267,12155
741,Jorge Alfaro,KC,R,OF,OF,6,13,12,1.2,0.3,1.3,0.2,2.7,1.8,0.5,0.0,4.2,4.3,0.5,0.2,0.1,0.0,0.1,0.220,0.258,0.341,0.599,0.311,12180
742,Kevin Pillar,FA,R,OF,OF,6,13,12,1.4,0.3,1.3,0.3,2.7,1.8,0.5,0.0,4.3,3.0,0.7,0.2,0.1,0.0,0.1,0.221,0.271,0.354,0.625,0.265,12434
743,Albert Almora Jr.,FA,R,OF,OF,6,13,12,1.3,0.2,1.2,0.2,2.8,1.9,0.6,0.1,4.0,2.5,0.8,0.1,0.1,0.0,0.1,0.231,0.280,0.334,0.614,0.276,14109
744,Harold Ramirez,WSH,R,OF,OF,6,13,12,1.3,0.2,1.2,0.2,3.1,2.3,0.5,0.0,4.3,2.7,0.6,0.1,0.1,0.0,0.1,0.254,0.294,0.358,0.652,0.308,14387
745,Hunter Renfroe,FA,R,OF,OF,6,13,12,1.4,0.4,1.5,0.1,2.7,1.7,0.6,0.0,4.6,2.9,1.0,0.1,0.1,0.0,0.0,0.228,0.292,0.388,0.680,0.263,15464
746,J.D. Davis,FA,R,1B/3B,1B/3B,6,13,12,1.4,0.3,1.3,0.1,2.6,1.7,0.5,0.0,4.2,3.8,1.1,0.1,0.1,0.0,0.0,0.222,0.293,0.359,0.652,0.293,16219
747,Jon Singleton,FA,L,1B,1B,6,13,11,1.4,0.4,1.3,0.0,2.2,1.4,0.4,0.0,3.8,3.8,1.5,0.1,0.1,0.0,0.0,0.196,0.294,0.333,0.627,0.255,572138
748,Jack Lopez,FA,R,2B,2B,6,13,12,1.2,0.2,1.1,0.2,2.5,1.8,0.5,0.0,3.7,3.8,0.5,0.1,0.1,0.1,0.1,0.205,0.242,0.300,0.542,0.280,605346
749,Joey Meneses,ATH,R,1B,1B,6,13,12,1.5,0.3,1.4,0.0,2.9,1.9,0.7,0.0,4.5,2.7,0.8,0.1,0.1,0.0,0.0,0.240,0.291,0.375,0.666,0.284,608841
750,DJ Stewart,FA,L,OF,OF,6,13,11,1.4,0.4,1.3,0.1,2.2,1.4,0.4,0.0,3.8,3.8,1.4,0.2,0.1,0.0,0.0,0.195,0.295,0.340,0.635,0.253,621466
751,Pablo Reyes,SD,R,2B/SS/ 3B,2B/3B/ OF,6,13,12,1.4,0.3,1.2,0.2,2.7,1.8,0.5,0.0,4.0,2.8,1.1,0.1,0.1,0.0,0.1,0.226,0.294,0.345,0.639,0.274,622569
752,Jose Azocar,ATL,R,OF,OF,6,13,12,1.3,0.2,1.2,0.5,2.8,2.1,0.5,0.1,4.0,3.0,0.7,0.1,0.1,0.0,0.2,0.231,0.277,0.326,0.603,0.289,640492
753,Jason Delay,BOS,R,C,C,6,13,12,1.2,0.1,1.0,0.1,2.6,1.9,0.5,0.0,3.5,2.8,0.8,0.2,0.1,0.1,0.0,0.215,0.271,0.293,0.564,0.272,641511
754,Luis Guillorme,FA,L,2B,2B,6,13,11,1.3,0.1,1.0,0.2,2.5,1.9,0.5,0.0,3.3,2.9,1.4,0.1,0.1,0.1,0.0,0.219,0.309,0.289,0.598,0.285,641645
755,Joshua Palacios,FA,L,OF,OF,6,13,12,1.4,0.3,1.3,0.2,2.7,1.8,0.5,0.0,4.3,3.1,1.0,0.2,0.1,0.0,0.1,0.233,0.302,0.368,0.670,0.285,641943
756,Chuckie Robinson,LAD,R,C,C,6,13,12,1.3,0.3,1.2,0.1,2.5,1.8,0.5,0.0,3.8,3.5,0.8,0.1,0.1,0.1,0.0,0.208,0.258,0.315,0.573,0.267,642020
